Region,Country,Year,"Reference date",Reference,URL,"NATLEX ISN","General remarks"
Asia,Thailand,2019,20151204,"Act on Establishment of Labour Courts and Labour Court Procedure (No.3), B.E. 2558 of December 2015",,,"A new Act amending the Labour Protection Act [Labour Protection Act (No. 7)] was adopted in April 2019. Those changes deal with various issues; for example, art.17/1 - termination of employment without prior notice, art.118 - establishing some new rates of severance pay (the length of service more than 10 years but less than 20 years and the length of service more than 20 years), article 120 – relocation of employer’s establishment, etc."
Asia,Thailand,2019,20151204,"Act on Establishment of the Court of Appeal for Specialized Cases, B.E. 2558 of December 2015",,,"A new Act amending the Labour Protection Act [Labour Protection Act (No. 7)] was adopted in April 2019. Those changes deal with various issues; for example, art.17/1 - termination of employment without prior notice, art.118 - establishing some new rates of severance pay (the length of service more than 10 years but less than 20 years and the length of service more than 20 years), article 120 – relocation of employer’s establishment, etc."
Asia,Thailand,2019,1975,"Labour Relations Act, BE 2518, 1975 [LRA]",,14497,"A new Act amending the Labour Protection Act [Labour Protection Act (No. 7)] was adopted in April 2019. Those changes deal with various issues; for example, art.17/1 - termination of employment without prior notice, art.118 - establishing some new rates of severance pay (the length of service more than 10 years but less than 20 years and the length of service more than 20 years), article 120 – relocation of employer’s establishment, etc."
Europe,Tajikistan,2019,20120108,"Labour Code of the Republic of Tajikistan as last amended by Law #1329 of 23.07.2016<br/><br/>See: http://mmk.tj/ru/legislation/legislation-base/codecs/",http://mehnat.tj/mehnat/en/main/,48035,
Europe,Turkmenistan,2019,20120118,"Labour Code, entered into force on 1st July 2009 (in Russian) as last amended in February 2019.<br/>",https://online.zakon.kz/document/?doc_id=31348675&page=1,83620,
Africa,Tunisia,2019,19960715,"Labour Code [LC], Act No 66-27 of 30 April 1966, consolidated version (2011) including amendments up to July 1996 (Act No. 96-62)<br/>[Code du travail, dans sa teneur révisée au 15 juillet 1996 (2011) - in French]",,44414,
Africa,Tunisia,2019,20060502,"Act No. 2006-18 of 2 May 2006 modifying some provisions of the Labour Code<br/>(Loi n° 2006-18 du 2 mai 2006, modifiant et complétant certaines dispositions du code du travail - available in French)",,73680,
Africa,Tunisia,2019,20070402,"Act No. 2007-19 of 2 April 2007 modifying some provisions of the Labour Code<br/>(Loi n° 2007-19 du 2 avril 2007 portant modification de certaines dispositions du Code du travail - available in French)",,75853,
Africa,Tunisia,2019,20110103,"Act No. 2011-4 of 3 January 2011 supplementing the provisions of Article 234 of the Labour Code)<br/>(Loi n° 2011-4 du 3 janvier 2011 complétant les dispositions de l&apos;article 234 du Code du travail)",,86016,
Africa,Tunisia,2019,20110606,"Law-Decree no. 2011-51 of 6 June 2011 amending the Labour Code<br/>(Décret-loi n° 2011-51 du 6 juin 2011, portant modification du Code du travail)",,87951,
Europe,Türkiye,2019,20090218,"Labour Act [LA], No. 4857 of 22 May 2003.<br/>[Note that this Act was amended by several acts (No. 5838 2009, Act No. 5763 of 2008, Act No. 5754 of 2008, Act No. 5538 of 2006, Act No. 5378 of 2005, Act No. 4884 of 2003, see NATLEX).",,64083,
