Region,Country,Year,"Reference date",Reference,URL,"NATLEX ISN","General remarks"
Americas,"United States",2017,19900418,"National Labor Relations Act of 1935 [NLRA], as amended through April 18, 1990, 29 U.S.C. secs. 151-169",http://www.nlrb.gov/national-labor-relations-act,31133,"<b>There is no federal law regulating the termination of employment as such. The United States has an &quot;at will&quot; employment system which allows for the dismissal of workers for any reason, or for no reason at all. In addition, there are no statutory procedural requirements to be observed with the exception of notice requirements in the event of mass dismissal, as set out in the WARN Act)</b>.<br/>In the American States, with the exceptions of the State of Montana, the Commonwealth of Puerto Rico, and the non-metropolitan territory of the US Virgin Islands, as yet there is no legislation specifically focused on employment termination.<br/><br/>Most of the laws listed under &quot;reference&quot; are federal anti discrimination laws which operate to provide some measure of protection to employees in regard to termination.<br/>The relevant federal statutes listed here are supplemented in many of the fifty states by similar legislation.<br/><br/>It is worth noting that an attempt has been made to provide legislative guidelines for dismissals under a model act. In 1991, the National Conference of Commissioners of Uniform State Laws adopted a Model Employment Termination Act (META) which would protect workers from dismissal without good cause by an employer. The model legislation is similar in scope and intention to the ILO Termination of Employment Convention, 1982 (No. 158). As of 2010, only Delaware has enacted a version of META.<br/><br/><br/>"
Americas,"United States",2017,19981021,"The Worker Adjustment and Retraining Notification Act [WARN] of 1988, as amended up to Public Law 105-277 of 21 October 1998, 29 U.S.C secs. 2101 to 2109",http://www.law.cornell.edu/uscode/html/uscode29/usc_sec_29_00002101----000-.html,6641,"<b>There is no federal law regulating the termination of employment as such. The United States has an &quot;at will&quot; employment system which allows for the dismissal of workers for any reason, or for no reason at all. In addition, there are no statutory procedural requirements to be observed with the exception of notice requirements in the event of mass dismissal, as set out in the WARN Act)</b>.<br/>In the American States, with the exceptions of the State of Montana, the Commonwealth of Puerto Rico, and the non-metropolitan territory of the US Virgin Islands, as yet there is no legislation specifically focused on employment termination.<br/><br/>Most of the laws listed under &quot;reference&quot; are federal anti discrimination laws which operate to provide some measure of protection to employees in regard to termination.<br/>The relevant federal statutes listed here are supplemented in many of the fifty states by similar legislation.<br/><br/>It is worth noting that an attempt has been made to provide legislative guidelines for dismissals under a model act. In 1991, the National Conference of Commissioners of Uniform State Laws adopted a Model Employment Termination Act (META) which would protect workers from dismissal without good cause by an employer. The model legislation is similar in scope and intention to the ILO Termination of Employment Convention, 1982 (No. 158). As of 2010, only Delaware has enacted a version of META.<br/><br/><br/>"
Americas,"United States",2017,20090129,"Age Discrimination in Employment Act of 1967 [ADEA] as last amended by the Lilly Ledbetter Fair Pay Act 2009, 29 U.S.C secs. 621-634",http://www.eeoc.gov/laws/statutes/adea.cfm,18815,"<b>There is no federal law regulating the termination of employment as such. The United States has an &quot;at will&quot; employment system which allows for the dismissal of workers for any reason, or for no reason at all. In addition, there are no statutory procedural requirements to be observed with the exception of notice requirements in the event of mass dismissal, as set out in the WARN Act)</b>.<br/>In the American States, with the exceptions of the State of Montana, the Commonwealth of Puerto Rico, and the non-metropolitan territory of the US Virgin Islands, as yet there is no legislation specifically focused on employment termination.<br/><br/>Most of the laws listed under &quot;reference&quot; are federal anti discrimination laws which operate to provide some measure of protection to employees in regard to termination.<br/>The relevant federal statutes listed here are supplemented in many of the fifty states by similar legislation.<br/><br/>It is worth noting that an attempt has been made to provide legislative guidelines for dismissals under a model act. In 1991, the National Conference of Commissioners of Uniform State Laws adopted a Model Employment Termination Act (META) which would protect workers from dismissal without good cause by an employer. The model legislation is similar in scope and intention to the ILO Termination of Employment Convention, 1982 (No. 158). As of 2010, only Delaware has enacted a version of META.<br/><br/><br/>"
Americas,"United States",2017,20090129,"Americans with Disabilities Act of 1990 [ADA], as last amended by the Lilly Ledbetter Fair Pay Act 2009, 42 U.S.C. secs. 12101 to 12213",http://www.eeoc.gov/laws/statutes/ada.cfm,31145,"<b>There is no federal law regulating the termination of employment as such. The United States has an &quot;at will&quot; employment system which allows for the dismissal of workers for any reason, or for no reason at all. In addition, there are no statutory procedural requirements to be observed with the exception of notice requirements in the event of mass dismissal, as set out in the WARN Act)</b>.<br/>In the American States, with the exceptions of the State of Montana, the Commonwealth of Puerto Rico, and the non-metropolitan territory of the US Virgin Islands, as yet there is no legislation specifically focused on employment termination.<br/><br/>Most of the laws listed under &quot;reference&quot; are federal anti discrimination laws which operate to provide some measure of protection to employees in regard to termination.<br/>The relevant federal statutes listed here are supplemented in many of the fifty states by similar legislation.<br/><br/>It is worth noting that an attempt has been made to provide legislative guidelines for dismissals under a model act. In 1991, the National Conference of Commissioners of Uniform State Laws adopted a Model Employment Termination Act (META) which would protect workers from dismissal without good cause by an employer. The model legislation is similar in scope and intention to the ILO Termination of Employment Convention, 1982 (No. 158). As of 2010, only Delaware has enacted a version of META.<br/><br/><br/>"
Americas,"United States",2017,20100721,"Sarbanes-Oxley Act of 2002 [SOX], Title VII Corporate and Criminal Fraud and accountability [sec. 806], Public Law 107-204, last amended by Public law 111-203 of 21 July 2010, 18 U.S.C. Section 1514A",http://www.law.cornell.edu/uscode/text/18/1514A,,"<b>There is no federal law regulating the termination of employment as such. The United States has an &quot;at will&quot; employment system which allows for the dismissal of workers for any reason, or for no reason at all. In addition, there are no statutory procedural requirements to be observed with the exception of notice requirements in the event of mass dismissal, as set out in the WARN Act)</b>.<br/>In the American States, with the exceptions of the State of Montana, the Commonwealth of Puerto Rico, and the non-metropolitan territory of the US Virgin Islands, as yet there is no legislation specifically focused on employment termination.<br/><br/>Most of the laws listed under &quot;reference&quot; are federal anti discrimination laws which operate to provide some measure of protection to employees in regard to termination.<br/>The relevant federal statutes listed here are supplemented in many of the fifty states by similar legislation.<br/><br/>It is worth noting that an attempt has been made to provide legislative guidelines for dismissals under a model act. In 1991, the National Conference of Commissioners of Uniform State Laws adopted a Model Employment Termination Act (META) which would protect workers from dismissal without good cause by an employer. The model legislation is similar in scope and intention to the ILO Termination of Employment Convention, 1982 (No. 158). As of 2010, only Delaware has enacted a version of META.<br/><br/><br/>"
Americas,"United States",2017,20091221,"Family and Medical Leave Act of 1993 [FMLA], as amended through December 2009, 29 U.S.C. secs. 2611-2654",http://www.dol.gov/whd/fmla/fmlaAmended.htm#SEC_102_LEAVE_REQUIREMENT,33397,"<b>There is no federal law regulating the termination of employment as such. The United States has an &quot;at will&quot; employment system which allows for the dismissal of workers for any reason, or for no reason at all. In addition, there are no statutory procedural requirements to be observed with the exception of notice requirements in the event of mass dismissal, as set out in the WARN Act)</b>.<br/>In the American States, with the exceptions of the State of Montana, the Commonwealth of Puerto Rico, and the non-metropolitan territory of the US Virgin Islands, as yet there is no legislation specifically focused on employment termination.<br/><br/>Most of the laws listed under &quot;reference&quot; are federal anti discrimination laws which operate to provide some measure of protection to employees in regard to termination.<br/>The relevant federal statutes listed here are supplemented in many of the fifty states by similar legislation.<br/><br/>It is worth noting that an attempt has been made to provide legislative guidelines for dismissals under a model act. In 1991, the National Conference of Commissioners of Uniform State Laws adopted a Model Employment Termination Act (META) which would protect workers from dismissal without good cause by an employer. The model legislation is similar in scope and intention to the ILO Termination of Employment Convention, 1982 (No. 158). As of 2010, only Delaware has enacted a version of META.<br/><br/><br/>"
Americas,"United States",2017,200401,"Occupational Health and Safety Act of 1970 [OSHA], as amended through January 2004, 29 U.S.C. secs. 651-678",http://www.osha.gov/pls/oshaweb/owadisp.show_document?p_table=OSHACT&p_id=2743,18611,"<b>There is no federal law regulating the termination of employment as such. The United States has an &quot;at will&quot; employment system which allows for the dismissal of workers for any reason, or for no reason at all. In addition, there are no statutory procedural requirements to be observed with the exception of notice requirements in the event of mass dismissal, as set out in the WARN Act)</b>.<br/>In the American States, with the exceptions of the State of Montana, the Commonwealth of Puerto Rico, and the non-metropolitan territory of the US Virgin Islands, as yet there is no legislation specifically focused on employment termination.<br/><br/>Most of the laws listed under &quot;reference&quot; are federal anti discrimination laws which operate to provide some measure of protection to employees in regard to termination.<br/>The relevant federal statutes listed here are supplemented in many of the fifty states by similar legislation.<br/><br/>It is worth noting that an attempt has been made to provide legislative guidelines for dismissals under a model act. In 1991, the National Conference of Commissioners of Uniform State Laws adopted a Model Employment Termination Act (META) which would protect workers from dismissal without good cause by an employer. The model legislation is similar in scope and intention to the ILO Termination of Employment Convention, 1982 (No. 158). As of 2010, only Delaware has enacted a version of META.<br/><br/><br/>"
Americas,"United States",2017,20080521,"Genetic Information Nondiscrimination Act of 21 May 2008 (GINA), 42 U.S.C. sec. 2000ff to 2000ff-11 (in force since 21 November 2009)",http://www.law.cornell.edu/uscode/text/42/chapter-21F,78621,"<b>There is no federal law regulating the termination of employment as such. The United States has an &quot;at will&quot; employment system which allows for the dismissal of workers for any reason, or for no reason at all. In addition, there are no statutory procedural requirements to be observed with the exception of notice requirements in the event of mass dismissal, as set out in the WARN Act)</b>.<br/>In the American States, with the exceptions of the State of Montana, the Commonwealth of Puerto Rico, and the non-metropolitan territory of the US Virgin Islands, as yet there is no legislation specifically focused on employment termination.<br/><br/>Most of the laws listed under &quot;reference&quot; are federal anti discrimination laws which operate to provide some measure of protection to employees in regard to termination.<br/>The relevant federal statutes listed here are supplemented in many of the fifty states by similar legislation.<br/><br/>It is worth noting that an attempt has been made to provide legislative guidelines for dismissals under a model act. In 1991, the National Conference of Commissioners of Uniform State Laws adopted a Model Employment Termination Act (META) which would protect workers from dismissal without good cause by an employer. The model legislation is similar in scope and intention to the ILO Termination of Employment Convention, 1982 (No. 158). As of 2010, only Delaware has enacted a version of META.<br/><br/><br/>"
Americas,"United States",2017,20081013,"The Jury System Improvements Act of 1978 (JSIA), Pub. L. 95-572, as amended by Public Law 110-406 of 13 October 2008, 28 U.S.C. sec. 1861 et seq.",http://www.law.cornell.edu/uscode/28/usc_sup_01_28_10_V_20_121.html,,"<b>There is no federal law regulating the termination of employment as such. The United States has an &quot;at will&quot; employment system which allows for the dismissal of workers for any reason, or for no reason at all. In addition, there are no statutory procedural requirements to be observed with the exception of notice requirements in the event of mass dismissal, as set out in the WARN Act)</b>.<br/>In the American States, with the exceptions of the State of Montana, the Commonwealth of Puerto Rico, and the non-metropolitan territory of the US Virgin Islands, as yet there is no legislation specifically focused on employment termination.<br/><br/>Most of the laws listed under &quot;reference&quot; are federal anti discrimination laws which operate to provide some measure of protection to employees in regard to termination.<br/>The relevant federal statutes listed here are supplemented in many of the fifty states by similar legislation.<br/><br/>It is worth noting that an attempt has been made to provide legislative guidelines for dismissals under a model act. In 1991, the National Conference of Commissioners of Uniform State Laws adopted a Model Employment Termination Act (META) which would protect workers from dismissal without good cause by an employer. The model legislation is similar in scope and intention to the ILO Termination of Employment Convention, 1982 (No. 158). As of 2010, only Delaware has enacted a version of META.<br/><br/><br/>"
Americas,"United States",2017,2016,"Fair Labour Standards Act (FLSA) of 1938, last amended in 2016",https://www.dol.gov/whd/regs/statutes/FairLaborStandAct.pdf,,"<b>There is no federal law regulating the termination of employment as such. The United States has an &quot;at will&quot; employment system which allows for the dismissal of workers for any reason, or for no reason at all. In addition, there are no statutory procedural requirements to be observed with the exception of notice requirements in the event of mass dismissal, as set out in the WARN Act)</b>.<br/>In the American States, with the exceptions of the State of Montana, the Commonwealth of Puerto Rico, and the non-metropolitan territory of the US Virgin Islands, as yet there is no legislation specifically focused on employment termination.<br/><br/>Most of the laws listed under &quot;reference&quot; are federal anti discrimination laws which operate to provide some measure of protection to employees in regard to termination.<br/>The relevant federal statutes listed here are supplemented in many of the fifty states by similar legislation.<br/><br/>It is worth noting that an attempt has been made to provide legislative guidelines for dismissals under a model act. In 1991, the National Conference of Commissioners of Uniform State Laws adopted a Model Employment Termination Act (META) which would protect workers from dismissal without good cause by an employer. The model legislation is similar in scope and intention to the ILO Termination of Employment Convention, 1982 (No. 158). As of 2010, only Delaware has enacted a version of META.<br/><br/><br/>"
Americas,"United States",2017,20140724,"Executive Order 13672, July 24, 2014",https://www.gpo.gov/fdsys/pkg/FR-2014-07-23/pdf/2014-17522.pdf,,"<b>There is no federal law regulating the termination of employment as such. The United States has an &quot;at will&quot; employment system which allows for the dismissal of workers for any reason, or for no reason at all. In addition, there are no statutory procedural requirements to be observed with the exception of notice requirements in the event of mass dismissal, as set out in the WARN Act)</b>.<br/>In the American States, with the exceptions of the State of Montana, the Commonwealth of Puerto Rico, and the non-metropolitan territory of the US Virgin Islands, as yet there is no legislation specifically focused on employment termination.<br/><br/>Most of the laws listed under &quot;reference&quot; are federal anti discrimination laws which operate to provide some measure of protection to employees in regard to termination.<br/>The relevant federal statutes listed here are supplemented in many of the fifty states by similar legislation.<br/><br/>It is worth noting that an attempt has been made to provide legislative guidelines for dismissals under a model act. In 1991, the National Conference of Commissioners of Uniform State Laws adopted a Model Employment Termination Act (META) which would protect workers from dismissal without good cause by an employer. The model legislation is similar in scope and intention to the ILO Termination of Employment Convention, 1982 (No. 158). As of 2010, only Delaware has enacted a version of META.<br/><br/><br/>"
Americas,Uruguay,2019,20060110,"Labour Laws at the site of the Ministry of Labour and Social Security<br/>",http://www.mtss.gub.uy/index.php?option=com_content&task=view&id=1613&Itemid=1613,,"In Uruguay, there are generic laws regulating basic rights, but most of the Employment relations are regulated by collective agreements and individual contracts of employment. The following laws provide rules for dismissals depending on the type of worker: Laws Nos. 10.489 and 10.542 /1944, 12.156 /1954, Law N° 12.597 /1958,  Law N° 13.555 /1966, Legislative Decree N° 14.188 /1974, Legislative Decree N° 14.407 /1975 and N° 14.000/1971, Law N° 16.074/1990 (stability of workers victims of occupational accidents and ilnesses); Law 17.940/2006 (stability of trade union members)."
Americas,Uruguay,2019,20131016,"Law No 19.133/2013 (youth Employment)",https://www.impo.com.uy/bases/leyes/19133-2013,,"In Uruguay, there are generic laws regulating basic rights, but most of the Employment relations are regulated by collective agreements and individual contracts of employment. The following laws provide rules for dismissals depending on the type of worker: Laws Nos. 10.489 and 10.542 /1944, 12.156 /1954, Law N° 12.597 /1958,  Law N° 13.555 /1966, Legislative Decree N° 14.188 /1974, Legislative Decree N° 14.407 /1975 and N° 14.000/1971, Law N° 16.074/1990 (stability of workers victims of occupational accidents and ilnesses); Law 17.940/2006 (stability of trade union members)."
Americas,Uruguay,2019,20091008,"Shortening of Labour Procedures (Abreviación de Procesos Laborales)",https://legislativo.parlamento.gub.uy/temporales/leytemp9148198.htm,,"In Uruguay, there are generic laws regulating basic rights, but most of the Employment relations are regulated by collective agreements and individual contracts of employment. The following laws provide rules for dismissals depending on the type of worker: Laws Nos. 10.489 and 10.542 /1944, 12.156 /1954, Law N° 12.597 /1958,  Law N° 13.555 /1966, Legislative Decree N° 14.188 /1974, Legislative Decree N° 14.407 /1975 and N° 14.000/1971, Law N° 16.074/1990 (stability of workers victims of occupational accidents and ilnesses); Law 17.940/2006 (stability of trade union members)."
Europe,Uzbekistan,2019,20101222,"Labour Code of the Republic of Uzbekistan as last amended by Law No.03/19/514/2450 of 10 January 2019.<br/>Link provided for in Russian",http://fmc.uz/legisl.php?id=k_trud,87861,
Americas,"Venezuela, Bolivarian Republic of",2019,20120430,"Organic Labour Law [OLL] of April 2012 (Ley Orgánica del Trabajo, los Trabajadores y las Trabajadoras - available in Spanish)",http://www.onapre.gob.ve/index.php/publicaciones/descargas/finish/43-ley-organica-del-trabajo-los-trabajadores-y-las-trabajadoras/210-ley-organica-del-trabajo-los-trabajadores-y-las-trabajadoras,90040,
Americas,"Venezuela, Bolivarian Republic of",2019,20130430,"Organic Labour Law Regulation on working time [OLLR], 30 April 2013 (Reglamento Parcial de la Ley Orgánica del Trabajo, los Trabajadores y las Trabajadoras sobre el tiempo de trabajo - available in Spanish)",https://aldiavenezuela.microjuris.com/2013/05/03/reglamento-parcial-del-decreto-de-ley-organica-del-trabajo-los-trabajadores-y-las-trabajadoras/,,
Americas,"Venezuela, Bolivarian Republic of",2019,20020813,"Organic Labour Procedure Law [OLPL], 13 August 2002 (Ley Orgánica Procesal del Trabajo - available in Spanish),",,64100,
Americas,"Venezuela, Bolivarian Republic of",2019,20181228,"Presidential Decree No. 2.158 of 28 December 2015 (Decree providing certain workers with immunity from dismissals for the year 2015) and <br/>Presidential Decree No. 3.708 of 28 December 2018 (Decree providing certain workers with immunity from dismissals for the year 2018 - until 2020",,,
Americas,"Venezuela, Bolivarian Republic of",2019,19930813,"Law on Equal Opportunities for Women (Ley de igualdad de oportunidades para la mujer).",,37516,
Asia,"Viet Nam",2012,20020402,"Labour Code of the Social Republic of Viet Nam [LC], 23 June 1994 as amended by Law 35-2002-QH10 of 2 April 2002",http://www.global-standards.com/Resources/VNLaborCode1994-2002.pdf,38229,"Changes brought by the new Labour Code (in force since May, 1st 2013, will be reflected in the EPLex profile for 2013."
Asia,"Viet Nam",2012,20030509,"Decree No. 44-2003-ND-CP making detailed provisions and providing guidelines for implementation of a number of articles of the Labour Code with respect to labour contracts",http://moj.gov.vn/vbpq/en/Lists/Vn%20bn%20php%20lut/View_Detail.aspx?ItemID=8813,,"Changes brought by the new Labour Code (in force since May, 1st 2013, will be reflected in the EPLex profile for 2013."
Asia,"Viet Nam",2012,20100506,"Decree No. 47/2010/ND-CP of May 06, 2010, on administrative sanctioning of violations of the Labor Law",http://www.ilo.org/dyn/travail/docs/907/Decree%20on%20administrative%20sanctioning%20of%20violations%20of%20the%20Labor%20Law%202010.pdf,,"Changes brought by the new Labour Code (in force since May, 1st 2013, will be reflected in the EPLex profile for 2013."
